t (d),Precipitation (cm/d),Irrigation (cm/d),ET0 (cm/d),top_BC (cm),bot_BC (cm),Contaminated_water_flux (cm/d),PFAS_mass_flux (mg/d/cm^2)
300,0,0,0.009204483,-999999.99,-999999.99,0,0
301,0,0,0.006125302,-999999.99,-999999.99,0,0
302,0,0,0.011796031,-999999.99,-999999.99,0,0
303,0,0,0.009780276,-999999.99,-999999.99,0,0
304,0,0,0.010813959,-999999.99,-999999.99,0,0
305,0,0,0.011903476,-999999.99,-999999.99,0,0
306,0,0,0.014623659,-999999.99,-999999.99,0,0
307,0,0,0.005222222,-999999.99,-999999.99,0,0
308,0,0,0.005778286,-999999.99,-999999.99,0,0
309,0,0,0.012563643,-999999.99,-999999.99,0,0
310,0,0,0.012920174,-999999.99,-999999.99,0,0
311,0,0,0.008386726,-999999.99,-999999.99,0,0
312,0,0,0.007173992,-999999.99,-999999.99,0,0
313,0,0,0.006994584,-999999.99,-999999.99,0,0
314,0,0,0.008559402,-999999.99,-999999.99,0,0
315,0,0,0.007971544,-999999.99,-999999.99,0,0
316,0,0,0.012215543,-999999.99,-999999.99,0,0
317,0,0,0.016525473,-999999.99,-999999.99,0,0
318,0,0,0.009096666,-999999.99,-999999.99,0,0
319,0,0,0.004192016,-999999.99,-999999.99,0,0
320,0,0,0.007424417,-999999.99,-999999.99,0,0
321,0,0,0.001744508,-999999.99,-999999.99,0,0
322,0,0,0.00621348,-999999.99,-999999.99,0,0
323,0,0,0.014250826,-999999.99,-999999.99,0,0
324,0,0,0.00798634,-999999.99,-999999.99,0,0
325,0,0,0.00735377,-999999.99,-999999.99,0,0
326,0,0,0.006162189,-999999.99,-999999.99,0,0
327,0,0,0.009205827,-999999.99,-999999.99,0,0
328,0,0,0.003813468,-999999.99,-999999.99,0,0
329,0,0,0.008489555,-999999.99,-999999.99,0,0
330,0,0,0.001685311,-999999.99,-999999.99,0,0
331,0,0,0.010328978,-999999.99,-999999.99,0,0
332,0,0,0.008551115,-999999.99,-999999.99,0,0
333,0,0,0.003603066,-999999.99,-999999.99,0,0
334,0,0,0.007854717,-999999.99,-999999.99,0,0
335,0,0,0.002556015,-999999.99,-999999.99,0,0
336,0,0,0.006074112,-999999.99,-999999.99,0,0
337,0,0,-0.000701197,-999999.99,-999999.99,0,0
338,0,0,0.008477497,-999999.99,-999999.99,0,0
339,0,0,0.010287459,-999999.99,-999999.99,0,0
340,0,0,0.007941607,-999999.99,-999999.99,0,0
341,0,0,0.007174052,-999999.99,-999999.99,0,0
342,0,0,0.003848676,-999999.99,-999999.99,0,0
343,0,0,0.001554565,-999999.99,-999999.99,0,0
344,0,0,0.005828125,-999999.99,-999999.99,0,0
345,0,0,0.001695831,-999999.99,-999999.99,0,0
346,0,0,0.003951656,-999999.99,-999999.99,0,0
347,0.47,0,0.064612562,-999999.99,-999999.99,0,0
348,0,0,0.050609623,-999999.99,-999999.99,0,0
349,0,0,0.034772963,-999999.99,-999999.99,0,0
350,0,0,0.031198004,-999999.99,-999999.99,0,0
351,0,0,0.017969409,-999999.99,-999999.99,0,0
352,0,0,0.026899884,-999999.99,-999999.99,0,0
353,0,0,0.016668943,-999999.99,-999999.99,0,0
354,0,0,0.017526907,-999999.99,-999999.99,0,0
355,0,0,0.015158258,-999999.99,-999999.99,0,0
356,0,0,0.015950296,-999999.99,-999999.99,0,0
357,0,0,0.009528919,-999999.99,-999999.99,0,0
358,0,0,0.010333232,-999999.99,-999999.99,0,0
359,0,0,0.008757998,-999999.99,-999999.99,0,0
360,0,0,0.007751509,-999999.99,-999999.99,0,0
361,0,0,0.009713805,-999999.99,-999999.99,0,0
362,0,0,0.011108094,-999999.99,-999999.99,0,0
363,0,0,0.007880659,-999999.99,-999999.99,0,0
364,0,0,0.013999614,-999999.99,-999999.99,0,0
365,0,0,0.008609401,-999999.99,-999999.99,0,0
366,0,0,0.01292282,-999999.99,-999999.99,0,0
367,0.953,0,0.003310554,-999999.99,-999999.99,0,0
368,0.127,0,0.002886044,-999999.99,-999999.99,0,0
369,0.406,0,0.017137542,-999999.99,-999999.99,0,0
370,0,0,0.006361192,-999999.99,-999999.99,0,0
371,0,0,0.006779849,-999999.99,-999999.99,0,0
372,0,0,0.008403208,-999999.99,-999999.99,0,0
373,0,0,0.007312745,-999999.99,-999999.99,0,0
374,0,0,0.00618821,-999999.99,-999999.99,0,0
375,0,0,0.009237823,-999999.99,-999999.99,0,0
376,0,0,0.006084518,-999999.99,-999999.99,0,0
377,0,0,0.00127765,-999999.99,-999999.99,0,0
378,0,0,0.005098774,-999999.99,-999999.99,0,0
379,0,0,0.005061564,-999999.99,-999999.99,0,0
380,0,0,0.003663962,-999999.99,-999999.99,0,0
381,0,0,0.002122184,-999999.99,-999999.99,0,0
382,0,0,0.009128644,-999999.99,-999999.99,0,0
383,0,0,0.006742474,-999999.99,-999999.99,0,0
384,0,0,0.008836051,-999999.99,-999999.99,0,0
385,0,0,0.009035562,-999999.99,-999999.99,0,0
386,0.292,0,0.009090991,-999999.99,-999999.99,0,0
387,0,0,0.009063278,-999999.99,-999999.99,0,0
388,0,0,0.009121131,-999999.99,-999999.99,0,0
389,0,0,0.00402825,-999999.99,-999999.99,0,0
390,0,0,0.05224045,-999999.99,-999999.99,0,0
391,0.761,0,0.023532547,-999999.99,-999999.99,0,0
392,0.051,0,0.012850849,-999999.99,-999999.99,0,0
393,0,0,0.00992592,-999999.99,-999999.99,0,0
394,0,0,0.002986746,-999999.99,-999999.99,0,0
395,0,0,0.007676272,-999999.99,-999999.99,0,0
